GoodID,GoodCode,Inventory quantity,Product GID,Variant GID,Inventory Item ID
42803,NTS2-DR520-MIC,0,gid://shopify/Product/8645869600967,gid://shopify/ProductVariant/46282246422727,gid://shopify/InventoryItem/48402691424455
143529,NTS2-1203090002,0,gid://shopify/Product/8644309254343,gid://shopify/ProductVariant/46277188944071,gid://shopify/InventoryItem/48397574471879
143535,NTS2-AZ-7120-10A,0,gid://shopify/Product/8644310040775,gid://shopify/ProductVariant/46277189730503,gid://shopify/InventoryItem/48397575258311
143540,NTS2-CONNECTOR,0,gid://shopify/Product/8644312006855,gid://shopify/ProductVariant/46277191794887,gid://shopify/InventoryItem/48397577322695
143554,NTS2-INDICA-TOR-LIGHT,0,gid://shopify/Product/8643844341959,gid://shopify/ProductVariant/46276173398215,gid://shopify/InventoryItem/48396553945287
143555,NTS2-INGITIONPIN,0,gid://shopify/Product/8643844407495,gid://shopify/ProductVariant/46276173463751,gid://shopify/InventoryItem/48396554010823
143556,NTS2-LID,0,gid://shopify/Product/8643845587143,gid://shopify/ProductVariant/46276175495367,gid://shopify/InventoryItem/48396556042439
143562,NTS2-NUT,0,gid://shopify/Product/8643849191623,gid://shopify/ProductVariant/46276180541639,gid://shopify/InventoryItem/48396561088711
143563,NTS2-OEM-UJ15010-UD15,0,gid://shopify/Product/8643849322695,gid://shopify/ProductVariant/46276180738247,gid://shopify/InventoryItem/48396561285319
143570,NTS2-THERMO,0,gid://shopify/Product/8643850043591,gid://shopify/ProductVariant/46276181459143,gid://shopify/InventoryItem/48396562006215
143571,NTS2-TRAVEL-SWITCH,0,gid://shopify/Product/8643850207431,gid://shopify/ProductVariant/46276181622983,gid://shopify/InventoryItem/48396562170055
145533,NTS2-HN-C-35W,0,gid://shopify/Product/8645869764807,gid://shopify/ProductVariant/46282246586567,gid://shopify/InventoryItem/48402691588295
288693,NTS2-GD(GEB-J4D),0,gid://shopify/Product/8643842801863,gid://shopify/ProductVariant/46276170121415,gid://shopify/InventoryItem/48396550668487
43259,ROB2-PC0595,0,gid://shopify/Product/8645723193543,gid://shopify/ProductVariant/46281593094343,gid://shopify/InventoryItem/48402031182023
170035,COG2-115167,0,gid://shopify/Product/8710986956999,gid://shopify/ProductVariant/46576296624327,gid://shopify/InventoryItem/48702587896007
11831,RAN2-34040008,0,gid://shopify/Product/8644725309639,gid://shopify/ProductVariant/46277921177799,gid://shopify/InventoryItem/48398311456967
6364,EDL2-BEARING,0,gid://shopify/Product/8643140714695,gid://shopify/ProductVariant/46273095303367,gid://shopify/InventoryItem/48393459826887
6458,EDL2-BUSH,0,gid://shopify/Product/8643140747463,gid://shopify/ProductVariant/46273095336135,gid://shopify/InventoryItem/48393459859655
6573,PUJ2-HOOK,0,gid://shopify/Product/8644289495239,gid://shopify/ProductVariant/46277159190727,gid://shopify/InventoryItem/48397543997639
6894,HOB2-477016-126,0,gid://shopify/Product/8643733782727,gid://shopify/ProductVariant/46276010180807,gid://shopify/InventoryItem/48396388925639
7096,HOB2-31600200105,0,gid://shopify/Product/8643733717191,gid://shopify/ProductVariant/46276010115271,gid://shopify/InventoryItem/48396388860103
