GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.chiller_door_amount,specs.chiller_capacity_liter,specs.chiller_temperature,specs.refrigerant,specs.spareparts_warranty,specs.service_warranty,specs.product_of,specs.certificates
gid://shopify/Product/8646061621447,1500,750,978,100,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061686983,1800,750,978,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061719751,1800,750,978,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645502795975,1800,750,978,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061752519,900,750,978,75,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061785287,900,750,978,75,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061818055,900,750,978,75,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497389255,640,905,1926,87,220,50,314,2.8,1,574,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062047431,640,905,1926,87,220,50,314,2.8,1,574,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062080199,640,905,1926,87,220,50,314,2.8,1,574,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497225415,640,850,1926,77,220,50,314,2.8,1,574,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646061883591,640,850,1926,77,220,50,314,2.8,1,574,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062014663,640,850,1926,77,220,50,314,2.8,1,574,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062244039,640,905,1926,87,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645882020039,640,905,1926,87,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645721882823,640,905,1926,87,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062145735,640,850,1926,77,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497258183,640,850,1926,77,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645473468615,640,850,1926,77,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062211271,640,850,1926,77,220,50,314,2.8,2,572,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062342343,1260,905,1926,152,220,50,366,2.9,2,1215,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645721948359,1260,905,1926,152,220,50,366,2.9,2,1215,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062440647,1260,905,1926,152,220,50,366,2.9,2,1215,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062276807,1260,850,1926,142,220,50,366,3.5,2,1215,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062309575,1260,850,1926,142,220,50,366,3.5,2,1215,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497323719,1260,850,1926,142,220,50,366,3.5,2,1215,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062538951,1260,905,1926,152,220,50,366,3.5,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497487559,1260,905,1926,152,220,50,366,3.5,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062571719,1260,905,1926,152,220,50,366,3.5,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
