product_gid,status
gid://shopify/Product/8646046974151,QUEUED
gid://shopify/Product/8646047006919,QUEUED
gid://shopify/Product/8646047039687,QUEUED
gid://shopify/Product/8646047072455,QUEUED
gid://shopify/Product/8646047105223,QUEUED
gid://shopify/Product/8646047137991,QUEUED
gid://shopify/Product/8645503910087,QUEUED
gid://shopify/Product/8645503877319,QUEUED
gid://shopify/Product/8644763680967,QUEUED
gid://shopify/Product/8645504041159,QUEUED
gid://shopify/Product/8645877104839,QUEUED
gid://shopify/Product/8645506859207,QUEUED
gid://shopify/Product/8645509513415,QUEUED
gid://shopify/Product/8645501223111,QUEUED
gid://shopify/Product/8646050906311,QUEUED
gid://shopify/Product/8645877203143,QUEUED
gid://shopify/Product/8645499027655,QUEUED
gid://shopify/Product/8646050939079,QUEUED
gid://shopify/Product/8645521539271,QUEUED
gid://shopify/Product/8645501845703,QUEUED
gid://shopify/Product/8645501878471,QUEUED
gid://shopify/Product/8645501944007,QUEUED
gid://shopify/Product/8645501976775,QUEUED
gid://shopify/Product/8645502009543,QUEUED
gid://shopify/Product/8645502042311,QUEUED
gid://shopify/Product/8646051266759,QUEUED
gid://shopify/Product/8646051332295,QUEUED
gid://shopify/Product/8645502369991,QUEUED
gid://shopify/Product/8642987065543,QUEUED
gid://shopify/Product/8645599002823,QUEUED
gid://shopify/Product/8645598970055,QUEUED
gid://shopify/Product/8645877792967,QUEUED
gid://shopify/Product/8644374757575,QUEUED
gid://shopify/Product/8644374823111,QUEUED
gid://shopify/Product/8645541298375,QUEUED
gid://shopify/Product/8644666949831,QUEUED
gid://shopify/Product/8646057164999,QUEUED
gid://shopify/Product/8644378099911,QUEUED
gid://shopify/Product/8644374692039,QUEUED
gid://shopify/Product/8644689854663,QUEUED
gid://shopify/Product/8644689920199,QUEUED
gid://shopify/Product/8646072205511,QUEUED
gid://shopify/Product/8646072238279,QUEUED
gid://shopify/Product/8645602771143,QUEUED
gid://shopify/Product/8645602836679,QUEUED
gid://shopify/Product/8645602869447,QUEUED
gid://shopify/Product/8645602902215,QUEUED
gid://shopify/Product/8646072303815,QUEUED
gid://shopify/Product/8646072336583,QUEUED
gid://shopify/Product/8644691919047,QUEUED
gid://shopify/Product/8642987131079,QUEUED
gid://shopify/Product/8644689985735,QUEUED
gid://shopify/Product/8645720080583,QUEUED
gid://shopify/Product/8642987163847,QUEUED
gid://shopify/Product/8642987196615,QUEUED
gid://shopify/Product/8642987229383,QUEUED
gid://shopify/Product/8644763713735,QUEUED
gid://shopify/Product/8645601460423,QUEUED
gid://shopify/Product/8644380262599,QUEUED
gid://shopify/Product/8644784226503,QUEUED
gid://shopify/Product/8644678615239,QUEUED
gid://shopify/Product/8644678582471,QUEUED
gid://shopify/Product/8644753227975,QUEUED
gid://shopify/Product/8645957353671,QUEUED
gid://shopify/Product/8644502192327,QUEUED
gid://shopify/Product/8645516034247,QUEUED
gid://shopify/Product/8645676761287,QUEUED
gid://shopify/Product/8644762239175,QUEUED
gid://shopify/Product/8642987294919,QUEUED
gid://shopify/Product/8644762632391,QUEUED
gid://shopify/Product/8645960433863,QUEUED
gid://shopify/Product/8644762697927,QUEUED
gid://shopify/Product/8642987327687,QUEUED
gid://shopify/Product/8642987393223,QUEUED
gid://shopify/Product/8642987425991,QUEUED
gid://shopify/Product/8642987491527,QUEUED
gid://shopify/Product/8645691605191,QUEUED
gid://shopify/Product/8642987655367,QUEUED
gid://shopify/Product/8644773183687,QUEUED
gid://shopify/Product/8644773216455,QUEUED
gid://shopify/Product/8644704239815,QUEUED
gid://shopify/Product/8645485363399,QUEUED
gid://shopify/Product/8645526257863,QUEUED
gid://shopify/Product/8644676092103,QUEUED
gid://shopify/Product/8644665901255,QUEUED
gid://shopify/Product/8644665934023,QUEUED
gid://shopify/Product/8644665966791,QUEUED
gid://shopify/Product/8646026297543,QUEUED
gid://shopify/Product/8646026854599,QUEUED
gid://shopify/Product/8646026920135,QUEUED
gid://shopify/Product/8645518196935,QUEUED
gid://shopify/Product/8642987688135,QUEUED
gid://shopify/Product/8645652480199,QUEUED
gid://shopify/Product/8646051004615,QUEUED
gid://shopify/Product/8646051037383,QUEUED
gid://shopify/Product/8646051070151,QUEUED
gid://shopify/Product/8646051135687,QUEUED
gid://shopify/Product/8645501485255,QUEUED
gid://shopify/Product/8645647892679,QUEUED
gid://shopify/Product/8646051168455,QUEUED
gid://shopify/Product/8646051233991,QUEUED
gid://shopify/Product/8645501550791,QUEUED
gid://shopify/Product/8646051725511,QUEUED
gid://shopify/Product/8646051791047,QUEUED
gid://shopify/Product/8646051823815,QUEUED
gid://shopify/Product/8644687397063,QUEUED
gid://shopify/Product/8644687364295,QUEUED
gid://shopify/Product/8644375347399,QUEUED
gid://shopify/Product/8645650120903,QUEUED
gid://shopify/Product/8644377477319,QUEUED
gid://shopify/Product/8645710577863,QUEUED
gid://shopify/Product/8644378263751,QUEUED
gid://shopify/Product/8645676531911,QUEUED
gid://shopify/Product/8642987983047,QUEUED
gid://shopify/Product/8642988015815,QUEUED
gid://shopify/Product/8642988048583,QUEUED
gid://shopify/Product/8642988081351,QUEUED
gid://shopify/Product/8644374331591,QUEUED
gid://shopify/Product/8645601493191,QUEUED
gid://shopify/Product/8645500338375,QUEUED
gid://shopify/Product/8645500829895,QUEUED
gid://shopify/Product/8645503221959,QUEUED
gid://shopify/Product/8644693754055,QUEUED
gid://shopify/Product/8644783341767,QUEUED
gid://shopify/Product/8644672258247,QUEUED
gid://shopify/Product/8644672291015,QUEUED
gid://shopify/Product/8644672389319,QUEUED
gid://shopify/Product/8644801757383,QUEUED
gid://shopify/Product/8644501995719,QUEUED
gid://shopify/Product/8645532680391,QUEUED
gid://shopify/Product/8645498470599,QUEUED
gid://shopify/Product/8645498503367,QUEUED
gid://shopify/Product/8645963677895,QUEUED
gid://shopify/Product/8645498536135,QUEUED
gid://shopify/Product/8645532713159,QUEUED
gid://shopify/Product/8645963710663,QUEUED
gid://shopify/Product/8644762927303,QUEUED
gid://shopify/Product/8645652021447,QUEUED
gid://shopify/Product/8645532745927,QUEUED
gid://shopify/Product/8645532778695,QUEUED
gid://shopify/Product/8644375871687,QUEUED
gid://shopify/Product/8644375904455,QUEUED
gid://shopify/Product/8644375937223,QUEUED
gid://shopify/Product/8644376002759,QUEUED
gid://shopify/Product/8642988277959,QUEUED
gid://shopify/Product/8645870747847,QUEUED
gid://shopify/Product/8645870780615,QUEUED
gid://shopify/Product/8644668129479,QUEUED
gid://shopify/Product/8644668162247,QUEUED
gid://shopify/Product/8644672225479,QUEUED
gid://shopify/Product/8642988310727,QUEUED
gid://shopify/Product/8645960335559,QUEUED
gid://shopify/Product/8644690182343,QUEUED
gid://shopify/Product/8644762468551,QUEUED
gid://shopify/Product/8644762501319,QUEUED
gid://shopify/Product/8644784718023,QUEUED
gid://shopify/Product/8642988343495,QUEUED
gid://shopify/Product/8642988376263,QUEUED
gid://shopify/Product/8642988409031,QUEUED
gid://shopify/Product/8642988441799,QUEUED
gid://shopify/Product/8645708579015,QUEUED
gid://shopify/Product/8642988474567,QUEUED
gid://shopify/Product/8642988507335,QUEUED
gid://shopify/Product/8645501354183,QUEUED
gid://shopify/Product/8645507023047,QUEUED
gid://shopify/Product/8642988572871,QUEUED
gid://shopify/Product/8645877530823,QUEUED
gid://shopify/Product/8645506990279,QUEUED
gid://shopify/Product/8645509054663,QUEUED
gid://shopify/Product/8644375380167,QUEUED
gid://shopify/Product/8645501059271,QUEUED
gid://shopify/Product/8644374429895,QUEUED
gid://shopify/Product/8644446879943,QUEUED
gid://shopify/Product/8642988605639,QUEUED
gid://shopify/Product/8645479727303,QUEUED
gid://shopify/Product/8645483135175,QUEUED
gid://shopify/Product/8645936709831,QUEUED
gid://shopify/Product/8644501962951,QUEUED
gid://shopify/Product/8644501930183,QUEUED
gid://shopify/Product/8644762173639,QUEUED
gid://shopify/Product/8644762206407,QUEUED
gid://shopify/Product/8645708054727,QUEUED
gid://shopify/Product/8645963907271,QUEUED
gid://shopify/Product/8645963940039,QUEUED
gid://shopify/Product/8645532909767,QUEUED
gid://shopify/Product/8644375838919,QUEUED
gid://shopify/Product/8645937070279,QUEUED
gid://shopify/Product/8645937103047,QUEUED
gid://shopify/Product/8645849972935,QUEUED
gid://shopify/Product/8644693721287,QUEUED
gid://shopify/Product/8644672192711,QUEUED
gid://shopify/Product/8644672323783,QUEUED
gid://shopify/Product/8644783374535,QUEUED
gid://shopify/Product/8644672356551,QUEUED
gid://shopify/Product/8644497244359,QUEUED
gid://shopify/Product/8644497211591,QUEUED
gid://shopify/Product/8644761616583,QUEUED
gid://shopify/Product/8644761649351,QUEUED
gid://shopify/Product/8644761682119,QUEUED
gid://shopify/Product/8644761714887,QUEUED
gid://shopify/Product/8645516296391,QUEUED
gid://shopify/Product/8645601558727,QUEUED
gid://shopify/Product/8642988736711,QUEUED
gid://shopify/Product/8642988769479,QUEUED
gid://shopify/Product/8642988802247,QUEUED
gid://shopify/Product/8642988867783,QUEUED
gid://shopify/Product/8642988933319,QUEUED
gid://shopify/Product/8642988966087,QUEUED
gid://shopify/Product/8642989031623,QUEUED
gid://shopify/Product/8645498634439,QUEUED
gid://shopify/Product/8645963874503,QUEUED
gid://shopify/Product/8645498765511,QUEUED
gid://shopify/Product/8645532876999,QUEUED
gid://shopify/Product/8644375478471,QUEUED
gid://shopify/Product/8645658640583,QUEUED
gid://shopify/Product/8645526421703,QUEUED
gid://shopify/Product/8644375707847,QUEUED
