Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,Drive Unit,collection,/collections/drive-unit,"Motors, Fans & Actuators"
main-menu,Fan,collection,/collections/fan,"Motors, Fans & Actuators"
main-menu,Gear,collection,/collections/gear,"Motors, Fans & Actuators"
main-menu,Gearbox,collection,/collections/gearbox,"Motors, Fans & Actuators"
main-menu,Linear Actuator,collection,/collections/linear-actuator,"Motors, Fans & Actuators"
main-menu,Motor,collection,/collections/motor,"Motors, Fans & Actuators"
main-menu,Motor Bracket,collection,/collections/motor-bracket,"Motors, Fans & Actuators"
main-menu,Motor Bushing,collection,/collections/motor-bushing,"Motors, Fans & Actuators"
main-menu,Motor Frame,collection,/collections/motor-frame,"Motors, Fans & Actuators"
main-menu,Motor Mount,collection,/collections/motor-mount,"Motors, Fans & Actuators"
main-menu,Motor Pin,collection,/collections/motor-pin,"Motors, Fans & Actuators"
main-menu,Motor Plate,collection,/collections/motor-plate,"Motors, Fans & Actuators"
main-menu,Motor Ring,collection,/collections/motor-ring,"Motors, Fans & Actuators"
main-menu,Motor Spacer,collection,/collections/motor-spacer,"Motors, Fans & Actuators"
main-menu,Motor Stopper,collection,/collections/motor-stopper,"Motors, Fans & Actuators"
main-menu,Motor Support,collection,/collections/motor-support,"Motors, Fans & Actuators"
main-menu,Pulley,collection,/collections/pulley,"Motors, Fans & Actuators"
main-menu,Rotor,collection,/collections/rotor,"Motors, Fans & Actuators"
main-menu,Servo Motor,collection,/collections/servo-motor,"Motors, Fans & Actuators"
main-menu,Shaft,collection,/collections/shaft,"Motors, Fans & Actuators"
main-menu,Spring,collection,/collections/spring,"Motors, Fans & Actuators"
main-menu,Startor,collection,/collections/startor,"Motors, Fans & Actuators"
main-menu,Stator,collection,/collections/stator,"Motors, Fans & Actuators"
main-menu,Check Valve,collection,/collections/check-valve,"Pumps, Compressors & Fluid Systems"
main-menu,Compressor,collection,/collections/compressor,"Pumps, Compressors & Fluid Systems"
main-menu,Condenser,collection,/collections/condenser,"Pumps, Compressors & Fluid Systems"
main-menu,Coupler,collection,/collections/coupler,"Pumps, Compressors & Fluid Systems"
main-menu,Drain,collection,/collections/drain,"Pumps, Compressors & Fluid Systems"
main-menu,Drain Plug,collection,/collections/drain-plug,"Pumps, Compressors & Fluid Systems"
main-menu,Evaporator,collection,/collections/evaporator,"Pumps, Compressors & Fluid Systems"
main-menu,Expansion Valve,collection,/collections/expansion-valve,"Pumps, Compressors & Fluid Systems"
main-menu,Faucet,collection,/collections/faucet,"Pumps, Compressors & Fluid Systems"
main-menu,Fitting,collection,/collections/fitting,"Pumps, Compressors & Fluid Systems"
main-menu,Float Valve,collection,/collections/float-valve,"Pumps, Compressors & Fluid Systems"
main-menu,Flow Regulator,collection,/collections/flow-regulator,"Pumps, Compressors & Fluid Systems"
main-menu,Fluid Filter,collection,/collections/fluid-filter,"Pumps, Compressors & Fluid Systems"
main-menu,Hose,collection,/collections/hose,"Pumps, Compressors & Fluid Systems"
main-menu,Hydraulic Pump,collection,/collections/hydraulic-pump,"Pumps, Compressors & Fluid Systems"
main-menu,Manifold,collection,/collections/manifold,"Pumps, Compressors & Fluid Systems"
main-menu,Nozzle,collection,/collections/nozzle,"Pumps, Compressors & Fluid Systems"
main-menu,Pipe,collection,/collections/pipe,"Pumps, Compressors & Fluid Systems"
main-menu,Pipe Clamp,collection,/collections/pipe-clamp,"Pumps, Compressors & Fluid Systems"
main-menu,Pipe Connector,collection,/collections/pipe-connector,"Pumps, Compressors & Fluid Systems"
main-menu,Pressure Gauge,collection,/collections/pressure-gauge,"Pumps, Compressors & Fluid Systems"
