Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,Trash Bins,collection,/collections/trash-bins,Janitorial Supplies
main-menu,Mats,collection,/collections/mats,Janitorial Supplies
main-menu,Ladders,collection,/collections/ladders,Janitorial Supplies
main-menu,Cleaning Chemicals,collection,/collections/cleaning-chemicals,Janitorial Supplies
main-menu,Refrigeration,collection,/collections/refrigeration,Hotel Supplies
main-menu,Safe Boxes,collection,/collections/safe-boxes,Hotel Supplies
main-menu,Electric Kettles,collection,/collections/electric-kettles,Hotel Supplies
main-menu,Bath Mats,collection,/collections/bath-mats,Hotel Supplies
main-menu,Luggage Racks,collection,/collections/luggage-racks,Hotel Supplies
main-menu,Torches,collection,/collections/torches,Hotel Supplies
main-menu,Bed & Bath Linens,collection,/collections/bed-bath-linens,Hotel Supplies
main-menu,Lobby Supplies,collection,/collections/lobby-supplies,Hotel Supplies
main-menu,Bathroom Accessories,collection,/collections/bathroom-accessories,Hotel Supplies
main-menu,Telephone,collection,/collections/telephone,Hotel Supplies
main-menu,Baby Chairs,collection,/collections/baby-chairs,Furniture & Seating
main-menu,Food Label Stickers,collection,/collections/food-label-stickers,Disposables
main-menu,Bag,collection,/collections/bag,Consumables & Service Parts
main-menu,Brush,collection,/collections/brush,Consumables & Service Parts
main-menu,Cable Tie,collection,/collections/cable-tie,Consumables & Service Parts
main-menu,Ceramic,collection,/collections/ceramic,Consumables & Service Parts
main-menu,Chemical,collection,/collections/chemical,Consumables & Service Parts
main-menu,Chopping Blade,collection,/collections/chopping-blade,Consumables & Service Parts
main-menu,Cleaner,collection,/collections/cleaner,Consumables & Service Parts
main-menu,Filter,collection,/collections/filter,Consumables & Service Parts
main-menu,Gasket,collection,/collections/gasket,Consumables & Service Parts
main-menu,Glue,collection,/collections/glue,Consumables & Service Parts
main-menu,Grease,collection,/collections/grease,Consumables & Service Parts
main-menu,Lubricant,collection,/collections/lubricant,Consumables & Service Parts
main-menu,Mop,collection,/collections/mop,Consumables & Service Parts
main-menu,Oil,collection,/collections/oil,Consumables & Service Parts
main-menu,O-Ring,collection,/collections/o-ring,Consumables & Service Parts
main-menu,Packing,collection,/collections/packing,Consumables & Service Parts
main-menu,Polish,collection,/collections/polish,Consumables & Service Parts
main-menu,Rubber,collection,/collections/rubber,Consumables & Service Parts
main-menu,Scouring Pad,collection,/collections/scouring-pad,Consumables & Service Parts
main-menu,Scraper,collection,/collections/scraper,Consumables & Service Parts
main-menu,Seal,collection,/collections/seal,Consumables & Service Parts
main-menu,Service Parts,collection,/collections/service-parts,Consumables & Service Parts
main-menu,Softener,collection,/collections/softener,Consumables & Service Parts
main-menu,Spoon,collection,/collections/spoon,Consumables & Service Parts
main-menu,Sticker,collection,/collections/sticker,Consumables & Service Parts
main-menu,Stone,collection,/collections/stone,Consumables & Service Parts
main-menu,Tape,collection,/collections/tape,Consumables & Service Parts
main-menu,Teflon,collection,/collections/teflon,Consumables & Service Parts
main-menu,Whip,collection,/collections/whip,Consumables & Service Parts
main-menu,Wipe,collection,/collections/wipe,Consumables & Service Parts
main-menu,Control Panel,collection,/collections/control-panel,Control Boards & Sensors
main-menu,Controller,collection,/collections/controller,Control Boards & Sensors
main-menu,Converter,collection,/collections/converter,Control Boards & Sensors
main-menu,Display PCB,collection,/collections/display-pcb,Control Boards & Sensors
main-menu,Encoder,collection,/collections/encoder,Control Boards & Sensors
main-menu,Float Switch,collection,/collections/float-switch,Control Boards & Sensors
main-menu,Flow Meter,collection,/collections/flow-meter,Control Boards & Sensors
main-menu,Gauge,collection,/collections/gauge,Control Boards & Sensors
main-menu,Infrared Sensor,collection,/collections/infrared-sensor,Control Boards & Sensors
main-menu,Inverter,collection,/collections/inverter,Control Boards & Sensors
main-menu,Level Switch,collection,/collections/level-switch,Control Boards & Sensors
main-menu,Limit Switch,collection,/collections/limit-switch,Control Boards & Sensors
main-menu,Magnetic Sensor,collection,/collections/magnetic-sensor,Control Boards & Sensors
main-menu,Main Board,collection,/collections/main-board,Control Boards & Sensors
main-menu,Module,collection,/collections/module,Control Boards & Sensors
